caliber,club,date,height,league,meta,person,place,position,positon,source,throws,type,weight,first,give,given,last,matrilineal,nick,nickname,suffix
,Norfolk,1923,,Virginia League,,blau/SSYPXJS,,,,blau/blau-20171001,,player,,Maurice,,Maurice Talbott,Riggs,,,,
,Muskogee,1910,,Western Association,,blau/PLQLNDN,,,,blau/blau-20180331,,player,,Harry,,,Rigsby,,,,
,McAlester,1912,,Oklahoma State League,,blau/PLQLNDN,,,,blau/blau-20180331,,player,,Harry,,,Rigsby,,,,
,Dallas,1912,,Texas League,,blau/PLQLNDN,,,,blau/blau-20180331,,player,,Harry,,,Rigsby,,,,
,Salina,1914,,Kansas State League,,blau/PLQLNDN,,,,blau/blau-20180331,,player,,Harry,,,Rigsby,,,,
,Green Bay,1909,,Wisconsin-Illinois League,,blau/MDVLHHK,,,,blau/blau-20170108,,player,,Bill,,William A.,Riley,,,,
,Kansas City,1912,,American Association,,blau/MDVLHHK,,,,blau/blau-20170108,,player,,Bill,,William A.,Riley,,,,
,Canton,1912,,Central League,,blau/MDVLHHK,,,,blau/blau-20170108,,player,,Bill,,William A.,Riley,,,,
,Kansas City,1913,,American Association,,blau/MDVLHHK,,,,blau/blau-20170108,,player,,Bill,,William A.,Riley,,,,
,Grand Rapids,1913,,Central League,,blau/MDVLHHK,,,,blau/blau-20170108,,player,,Bill,,William A.,Riley,,,,
,Americus,1914,,Georgia State League,,blau/XWBZVZR,,,,blau/blau-20180715,,player,,Bob,,,Riley,,,,
,Great Bend,1913,,Kansas State League,,blau/BDMRQMW,,,,blau/blau-20180331,,player,,C.,,,Riley,,,,
,Wichita,1913,,Western League,,blau/BDMRQMW,,,,blau/blau-20180331,,player,,C.,,,Riley,,,,
,Winnipeg,1921,,Western Canada League,,blau/NBFYHWC,,,,blau/blau-20170521,,player,,Jim,,,Riley,,,,
,Brunswick,1914,,Georgia State League,,blau/RNXFHYH,,,,blau/blau-20180715,,player,,Pete,,,Riley,,,,
,Newark,1915,,Buckeye League,,morris/JFVXLMN,,P,,morris/1915Buckeye/NewarkDailyAdvocate/32,,player,,,,,Riley,,,,
,Johnson City,1921,,Appalachian League,,blau/ZBFSMYR,,,,blau/blau-20171001,,player,,H. A.,,H. A.,Ringel,,,,
,Winston-Salem,1922,,Piedmont League,,blau/ZBFSMYR,,,,blau/blau-20171001,,player,,H. A.,,H. A.,Ringel,,,,
,Palestine,1927,,Lone Star League,,blau/TRGLBDS,,,,blau/blau-20170219,,manager,,Pep,,Lyman A.,Ripperton,,,,
,Palestine,1927,,Lone Star League,,blau/TRGLBDS,,,,blau/blau-20170219,,player,,Pep,,Lyman A.,Ripperton,,,,
,Seattle,1918,,Pacific Coast International League,,blau/FGCKBZR,,,,blau/blau-20161218,,player,,Pete,,,Ritchie,,,,
,San Francisco,1919,,Pacific Coast League,,blau/FGCKBZR,,,,blau/blau-20161218,,player,,Pete,,,Ritchie,,,,
,Seattle,1919,,Pacific Coast League,,blau/FGCKBZR,,,,blau/blau-20161218,,player,,Pete,,,Ritchie,,,,
,Seattle,1923,,Pacific Coast League,,blau/TBZNPLN,,,,blau/blau-20161218,,player,,Pete,,,Ritchie,,,,
,Seattle,1922,,Pacific Coast League,,blau/FRGFRMF,,,,blau/blau-20161218,,player,,,,,Ritchie,,,,
,Nashville,1922,,Southern Association,,blau/FRGFRMF,,,,blau/blau-20161218,,player,,,,,Ritchie,,,,
,Vancouver,1922,,Western International League,,blau/FRGFRMF,,,,blau/blau-20161218,,player,,,,,Ritchie,,,,
,Kingsport,1924,,Appalachian League,,blau/VTXLQKV,,,,blau/blau-20170731,,player,,,,,Rittenhouse,,Lefty,,
,Kingsport,1925,,Appalachian League,,blau/VTXLQKV,,,,blau/blau-20170731,,player,,,,,Rittenhouse,,Lefty,,
,Dyersburg,1925,,Interstate League,,blau/VTXLQKV,,,,blau/blau-20170731,,player,,,,,Rittenhouse,,Lefty,,
,New York,1916,,National League,,blau/PVHTLNB,,,,blau/blau-20170416,,player,,Hank,,,Ritter,,,,
,Reading,1919,,International League,,blau/PVHTLNB,,,,blau/blau-20170416,,player,,Hank,,,Ritter,,,,
,Lancaster,1914,,Tri-State League,,blau/ZQGRZBF,,,,blau/blau-20171001,,player,,James,,,Ritter,,,,
,York,1914,,Tri-State League,,blau/ZQGRZBF,,,,blau/blau-20171001,,player,,James,,,Ritter,,,,
,Lewiston,1915,,New England League,,blau/ZQGRZBF,,,,blau/blau-20171001,,player,,James,,,Ritter,,,,
,Wichita,1915,,Western League,,blau/ZQGRZBF,,,,blau/blau-20171001,,player,,James,,,Ritter,,,,
,Baltimore,1916,,International League,,blau/ZQGRZBF,,,,blau/blau-20171001,,player,,James,,,Ritter,,,,
,New London,1917,,Eastern League,,blau/ZQGRZBF,,,,blau/blau-20171001,,player,,James,,,Ritter,,,,
,Asbury Park,1914,,Atlantic League,,blau/SMSSZKK,,,,blau/blau-20180331,,player,,Joe,,,Ritter,,,,
,Leavenworth,1904,,Missouri Valley League,,blau/VKQVWVV,,,,blau/blau-20170108,,player,,O.W.,,O.W.,Ritter,,,,
,Tucson,1929,,Arizona State League,,blau/THQFRMP,,,,blau/blau-20170219,,player,,Walter,,,Ritter,,,,
,Poughkeepsie,1914,,Atlantic League,,morris/CKHHLFM,,,,morris/1911CarolinaAssociation/CharlotteObserver/55,,player,,,,,Ritter,,,,
,Poughkeepsie,1914,,Atlantic League,,morris/NKCSPLT,,,,morris/1915NorthCarolinaState/CharlotteObserver/55,,player,,,,,Ritter,,,,
,Lancaster,1914,,Tri-State League,,blau/BSGMFNT,,,,blau/blau-20170108,,player,,,,,Ritter,,,,
,Fitchburg,1915,,New England League,,blau/BSGMFNT,,,,blau/blau-20170108,,player,,,,,Ritter,,,,
,Charlotte,1915,,North Carolina State League,,morris/CKHHLFM,,,,morris/1911CarolinaAssociation/CharlotteObserver/55,,player,,,,,Ritter,,,,
,Charlotte,1915,,North Carolina State League,,morris/NKCSPLT,,,,morris/1915NorthCarolinaState/CharlotteObserver/55,,player,,,,,Ritter,,,,
,Fall River,1907,,New England League,,blau/GDVSFGZ,,,,blau/blau-20161225,,player,,George,,,Rivard,,,,
,Providence,1909,,Eastern League,,blau/GDVSFGZ,,,,blau/blau-20161225,,player,,George,,,Rivard,,,,
,Worcester,1909,,New England League,,blau/GDVSFGZ,,,,blau/blau-20161225,,player,,George,,,Rivard,,,,
,Hornell,1914,,Interstate League,,blau/RZYWFRJ,,,,blau/blau-20180331,,player,,,,,Robbins,,,,
,Raleigh,1915,,North Carolina State League,,morris/HKJSSPR,,,,morris/1915NorthCarolinaState/DurhamMorningHerald/5,,player,,Buck,,,Roberts,,,,
,Greensboro,1920,,Piedmont League,,blau/PFCDMYK,,,,blau/blau-20161225,,player,,E.,,,Roberts,,Ship,,
,High Point,1920,,Piedmont League,,blau/PFCDMYK,,,,blau/blau-20161225,,player,,E.,,,Roberts,,Ship,,
,Rock Island-Moline,1892,,Illinois-Iowa League,,blau/MWNDHVK,,,,blau/blau-20170521,,player,,Fred,,,Roberts,,,,
,Houston,1892,,Texas League,,blau/MWNDHVK,,,,blau/blau-20170521,,player,,Fred,,,Roberts,,,,
,Huron,1920,,South Dakota League,,blau/SXTVBHT,,,,blau/blau-20161225,,player,,J.,,,Roberts,,Bid,,
,Omaha,1927,,Western League,,blau/SKRMXMG,,,,blau/blau-20170219,,player,,Red,,,Roberts,,,,
,Wichita,1928,,Western League,,blau/SKRMXMG,,,,blau/blau-20170219,,player,,Red,,,Roberts,,,,
,St. Mary's,1916,,Interstate League,,blau/BJHNLVW,,,,blau/blau-20170108,,player,,Tuck,,Thomas E.,Roberts,,,,
,Warren,1916,,Interstate League,,blau/BJHNLVW,,,,blau/blau-20170108,,player,,Tuck,,Thomas E.,Roberts,,,,
,Fort Wayne,1917,,Central League,,blau/BJHNLVW,,,,blau/blau-20170108,,player,,Tuck,,Thomas E.,Roberts,,,,
,Kingsport,1924,,Appalachian League,,blau/CYGYMJP,,,,blau/blau-20170731,,player,,,,,Roberts,,Rusty,,
,Saginaw,1922,,Michigan-Ontario League,,blau/LQTPLVV,,,,blau/blau-20171001,,player,,Ernest,,,Robertson,,,,
,Saginaw,1922,,Michigan-Ontario League,,blau/LQTPLVV,,,,blau/blau-20171001,,manager,,Ernest,,,Robertson,,,,
,Terre Haute,1923,,Illinois-Indiana-Iowa League,,blau/LQTPLVV,,,,blau/blau-20171001,,manager,,Ernest,,,Robertson,,,,
,Terre Haute,1923,,Illinois-Indiana-Iowa League,,blau/LQTPLVV,,,,blau/blau-20171001,,player,,Ernest,,,Robertson,,,,
,Columbus,1915,,South Atlantic League,,blau/WHRSMTT,,,,blau/blau-20170108,,player,,Frank,,,Robertson,,,,
,Griffin,1916,,Georgia-Alabama League,,blau/WHRSMTT,,,,blau/blau-20170108,,player,,Frank,,,Robertson,,,,
,Atlanta,1916,,Southern Association,,blau/WHRSMTT,,,,blau/blau-20170108,,player,,Frank,,,Robertson,,,,
,Winston-Salem,1917,,North Carolina State League,,blau/WHRSMTT,,,,blau/blau-20170108,,player,,Frank,,,Robertson,,,,
,Atlanta,1917,,Southern Association,,blau/WHRSMTT,,,,blau/blau-20170108,,player,,Frank,,,Robertson,,,,
,Joplin,1920,,Western League,,blau/HJGLCCD,,,,blau/blau-20171001,,player,,Gene,,,Robertson,,,,
,Joplin,1921,,Western League,,blau/HJGLCCD,,,,blau/blau-20171001,,player,,Gene,,,Robertson,,,,
,Salem,1942,,Western International Leauge League,,blau/VLKDHFQ,,,,blau/blau-20180715,,player,,Jimmy,,James G.,Robertson,,,,
,Paterson,1914,,Atlantic League,,blau/LMHXVSC,,,,blau/blau-20180331,,player,,,,,Robertson,,,,
,Cedar Rapids,1921,,Illinois-Indiana-Iowa League,,blau/XFBKKJX,,,,blau/blau-20170205,,player,,Buddy,,Henry,Robinson,,,,
,Victoria,1910,,Southwest Texas League,,blau/LFBJTJL,,,,blau/blau-20170108,,player,,George,,,Robinson,,,,
,Charlotte,1915,,North Carolina State League,,morris/BSQXBWZ,,P,,morris/1915NorthCarolinaState/CharlotteNews/14,,player,,J. R.,,,Robinson,,,,
,Charlotte,1915,,North Carolina State League,,morris/TQCZJTR,,P,,morris/1911CarolinaAssociation/CharlotteObserver/34,,player,,Jim,,,Robinson,,,,
,Charlotte,1915,,North Carolina State League,,morris/GYFVGVG,,P,,morris/1915NorthCarolinaState/CharlotteObserver/34,,player,,Jim,,,Robinson,,,,
,Durant,1914,,Texas-Oklahoma League,,blau/HGKJFCQ,,,,blau/blau-20170731,,player,,Joe,,Joie,Robinson,,Buddy,,
,Fort Smith,1914,,Western Association,,blau/HGKJFCQ,,,,blau/blau-20170731,,player,,Joe,,Joie,Robinson,,Buddy,,
,Henryetta,1914,,Western Association,,blau/YMPPDJG,,,,blau/blau-20170731,,player,,Joe,,,Robinson,,,,
,Fort Smith,1915,,Western Association,,blau/HGKJFCQ,,,,blau/blau-20170731,,player,,Joe,,Joie,Robinson,,Buddy,,
,Muskogee,1915,,Western Association,,blau/YMPPDJG,,,,blau/blau-20170731,,player,,Joe,,,Robinson,,,,
,Muskogee,1916,,Western Association,,blau/YMPPDJG,,,,blau/blau-20170731,,player,,Joe,,,Robinson,,,,
,Fort Smith,1917,,Western Association,,blau/HGKJFCQ,,,,blau/blau-20170731,,player,,Joe,,Joie,Robinson,,Buddy,,
,Muskogee,1917,,Western Association,,blau/YMPPDJG,,,,blau/blau-20170731,,player,,Joe,,,Robinson,,,,
,Sioux City,1919,,Western League,,blau/HGKJFCQ,,,,blau/blau-20170731,,player,,Joe,,Joie,Robinson,,Buddy,,
,Cedar Rapids,1921,,Illinois-Indiana-Iowa League,,blau/HGKJFCQ,,,,blau/blau-20170731,,player,,Joe,,Joie,Robinson,,Buddy,,
,Sioux City,1921,,Western League,,blau/SSQNLLS,,,,blau/blau-20170521,,player,,Joe,,,Robinson,,,,
,Sioux City,1921,,Western League,,blau/YMPPDJG,,,,blau/blau-20170731,,player,,Joe,,,Robinson,,,,
,Bloomington,1922,,Illinois-Indiana-Iowa League,,blau/HGKJFCQ,,,,blau/blau-20170731,,player,,Joe,,Joie,Robinson,,Buddy,,
,Sioux City,1922,,Western League,,blau/YMPPDJG,,,,blau/blau-20170731,,player,,Joe,,,Robinson,,,,
,Muskogee,1926,,Western Association,,blau/YMPPDJG,,,,blau/blau-20170731,,player,,Joe,,,Robinson,,,,
,Springfield,1926,,Western Association,,blau/YMPPDJG,,,,blau/blau-20170731,,player,,Joe,,,Robinson,,,,
,Charlotte,1915,,North Carolina State League,,morris/QZDQZYS,,P,,morris/1915NorthCarolinaState/CharlotteNews/13,,player,,,,,Robinson,,,,
,Clarksdale,1921,,Cotton States League,,blau/NXRJZGH,,,,blau/blau-20170521,,player,,,,,Robinson,,,,
,Enid,1923,,Western Association,,blau/TVSQTDS,,,,blau/blau-20170219,,player,,Jack,,,Roche,,,,
,Denver,1924,,Western League,,blau/TVSQTDS,,,,blau/blau-20170219,,player,,Jack,,,Roche,,,,
,Las Cruces,1915,,Rio Grande Association,,morris/WDJHSPB,,IF,,morris/1915RioGrandeValley/ElPasoHerald/21,,player,,Tom,,,Roche,,,,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee League,,morris/VJPYBQT,,ss,,morris/General/1914OwensboroMessengerInquirer/15,,player,,,,,Roche,,,,
,Waterbury,1909,,Connecticut State League,,blau/RMPGFQG,,,,blau/blau-20170108,,player,,Bill,,,Rodgers,,,,
,Waterbury,1910,,Connecticut State League,,blau/RMPGFQG,,,,blau/blau-20170108,,player,,Bill,,,Rodgers,,,,
,Danville,1921,,Piedmont League,,blau/QGKNGJM,,,,blau/blau-20161218,,player,,James,,James J.,Rodgers,,,,
,Danville,1922,,Piedmont League,,blau/QGKNGJM,,,,blau/blau-20161218,,player,,James,,James J.,Rodgers,,,,
,Durham,1922,,Piedmont League,,blau/QGKNGJM,,,,blau/blau-20161218,,player,,James,,James J.,Rodgers,,,,
,Greeneville,1921,,Appalachian League,,blau/SNKFMRT,,,,blau/blau-20171001,,player,,Oscar,,,Rodriguez,,,,
,Wilson,1922,,Virginia League,,blau/SNKFMRT,,,,blau/blau-20171001,,player,,Oscar,,,Rodriguez,,,,
,Wilson,1923,,Virginia League,,blau/SNKFMRT,,,,blau/blau-20171001,,player,,Oscar,,,Rodriguez,,,,
,Petersburg,1924,,Virginia League,,blau/SNKFMRT,,,,blau/blau-20171001,,player,,Oscar,,,Rodriguez,,,,
,Alexandria,1926,,Cotton States League,,blau/SNKFMRT,,,,blau/blau-20171001,,player,,Oscar,,,Rodriguez,,,,
,Worcester,1914,,New England League,,blau/YGWYQZJ,,,,blau/blau-20170108,,player,,Billy,,,Roes,,,,
,Hornell,1915,,Interstate League,,blau/HKLXFGR,,,,blau/blau-20180331,,player,,Len,,,Rogenmoser,,,,
,Wellsville,1914,,Interstate League,,blau/BCKHYYF,,,,blau/blau-20180331,,player,,,,,Rogenmoser,,,,
,Tucson,1915,,Rio Grande Association,,morris/RRRJJSK,,PH,,morris/1915RioGrandeValley/ArizonaDailyStar/8,,player,,Ed,,,Rogers,,,,
,Toledo,1910,,American Association,,blau/WMXCYKF,,,,blau/blau-20170108,,player,,Edgar,,Edgar T.,Rogers,,,,
,Peoria,1910,,Illinois-Indiana-Iowa League,,blau/WMXCYKF,,,,blau/blau-20170108,,player,,Edgar,,Edgar T.,Rogers,,,,
,Fort Wayne,1912,,Central League,,blau/WMXCYKF,,,,blau/blau-20170108,,player,,Edgar,,Edgar T.,Rogers,,,,
,Zanesville,1912,,Central League,,blau/WMXCYKF,,,,blau/blau-20170108,,player,,Edgar,,Edgar T.,Rogers,,,,
,Mason City,1916,,Central Association,,morris/DBCFMJN,,,,morris/General/1916DailyGateCity/3,,player,,Harry,,,Rogers,,,,
,Wilkes-Barre,1934,,New York-Pennsylvania League,,blau/KYMLSHG,,,,blau/blau-20171001,,player,,Stanley,,,Rogers,,,,
,Elmira,1935,,New York-Pennsylvania League,,blau/KYMLSHG,,,,blau/blau-20171001,,player,,Stanley,,,Rogers,,,,
,Elmira,1936,,New York-Pennsylvania League,,blau/KYMLSHG,,,,blau/blau-20171001,,player,,Stanley,,,Rogers,,,,
,Henderson,1913,,Kentucky-Illinois-Tennessee League,,blau/SFHFNPV,,,,blau/blau-20180521,,player,,Tom,,,Rogers,,,,
,Clarksville,1914,,Kentucky-Illinois-Tennessee League,,blau/SFHFNPV,,,,blau/blau-20180521,,player,,Tom,,,Rogers,,,,
,Nashville,1914,,Southern Association,,blau/SFHFNPV,,,,blau/blau-20180521,,player,,Tom,,,Rogers,,,,
,Keokuk,1914,,Central Association,,blau/WGBNSYP,,,,blau/blau-20180331,,player,,Ed,,,Rogerson,,,,
,Waterloo,1915,,Central Association,,blau/NRZKYSR,,,,blau/blau-20170108,,player,,Ignasio,,,Rojas,,,,
,Grand Island,1923,,Nebraska State League,,blau/PWLNWKR,,,,blau/blau-20170827,,player,,Eddie,,,Rolf,,,,
,Springfield,1923,,Western Association,,blau/PWLNWKR,,,,blau/blau-20170827,,player,,Eddie,,,Rolf,,,,
,Laurel,1924,,Cotton States League,,blau/KNLGZNM,,,,blau/blau-20171001,,player,,Red,,,Rollings,,Red,,
,Mobile,1924,,Southern Association,,blau/KNLGZNM,,,,blau/blau-20171001,,player,,Red,,,Rollings,,Red,,
,Laurel,1925,,Cotton States League,,blau/KNLGZNM,,,,blau/blau-20171001,,player,,Red,,,Rollings,,Red,,
,Caruthersville,1910,,Northeast Arkansas League,,blau/XLWYNVF,,,,blau/blau-20180715,,player,,,,,Rollins,,,,
,Newark,1915,,Buckeye League,,morris/LKWHBGL,,C,,morris/1915Buckeye/NewarkDailyAdvocate/21,,player,,Robert,,,Rolston,,,,
,High Point,1921,,Piedmont League,,blau/PFMLZVQ,,,,blau/blau-20171001,,player,,Mike,,,Roman,,,,
,Charlotte,1922,,South Atlantic League,,blau/PFMLZVQ,,,,blau/blau-20171001,,player,,Mike,,,Roman,,,,
,New Haven,1907,,Connecticut State League,,blau/FSWMFHP,,,,blau/blau-20170108,,player,,A.,,,Romer,,,,
,Bridgeport,1908,,Connecticut State League,,blau/FSWMFHP,,,,blau/blau-20170108,,player,,A.,,,Romer,,,,
,Holyoke,1908,,Connecticut State League,,blau/FSWMFHP,,,,blau/blau-20170108,,player,,A.,,,Romer,,,,
,Wheeling,1925,,Central League,,blau/HQYQVHQ,,,,blau/blau-20170108,,player,,Dan,,,Rooney,,,,
,Fort Wayne,1917,,Central League,,blau/PCPQYFM,,,,blau/blau-20170108,,player,,Frank,,,Rooney,,,,
,Portsmouth,1920,,Virginia League,,blau/CBQRHGZ,,,,blau/blau-20171001,,player,,Frank,,,Rooney,,,,
,Fort Smith,1920,,Western Association,,blau/XCWRGLP,,,,blau/blau-20171001,,player,,Frank,,,Rooney,,,,
,Portsmouth,1922,,Virginia League,,blau/CBQRHGZ,,,,blau/blau-20171001,,player,,Frank,,,Rooney,,,,
,Shamokin,1925,,New York-Pennsylvania League,,blau/CBQRHGZ,,,,blau/blau-20171001,,player,,Frank,,,Rooney,,,,
,Alexandria,1926,,Cotton States League,,blau/CBQRHGZ,,,,blau/blau-20171001,,player,,Frank,,,Rooney,,,,
,Texarkana,1927,,Lone Star League,,blau/CBQRHGZ,,,,blau/blau-20171001,,player,,Frank,,,Rooney,,,,
,Burlington,1928,,Mississippi Valley League,,blau/CBQRHGZ,,,,blau/blau-20171001,,player,,Frank,,,Rooney,,,,
,Toledo,1921,,American Association,,blau/VQHQZJM,,,,blau/blau-20171001,,player,,John Edward,,John Edward,Rooney,,,,
,Grand Rapids,1921,,Central League,,blau/VQHQZJM,,,,blau/blau-20171001,,player,,John Edward,,John Edward,Rooney,,,,
,Ionia,1921,,Central League,,blau/VQHQZJM,,,,blau/blau-20171001,,player,,John Edward,,John Edward,Rooney,,,,
,Kalamazoo,1921,,Central League,,blau/VQHQZJM,,,,blau/blau-20171001,,player,,John Edward,,John Edward,Rooney,,,,
,Fairbury,1922,,Nebraska State League,,blau/VQHQZJM,,,,blau/blau-20171001,,player,,John Edward,,John Edward,Rooney,,,,
,Sioux City,1923,,Western League,,blau/VQHQZJM,,,,blau/blau-20171001,,player,,John Edward,,John Edward,Rooney,,,,
,Austin,1914,,Texas League,,blau/FMNWLPT,,,,blau/blau-20180826,,player,,,,,Rorex,,,,
,Shamokin,1926,,New York-Pennsylvania League,,blau/VQJYRDH,,,,blau/blau-20170731,,player,,John,,John Albert,Roseberry,,,,
,Jackson,1925,,Cotton States League,,blau/QKKNMJB,,,,blau/blau-20171001,,player,,Max,,,Rosenfield,,,,
,Mayfield,1923,,Kentucky-Illinois-Tennessee League,,blau/YRHRMVR,,,,blau/blau-20171001,,player,,Buster,,,Ross,,,,
,Wilson,1927,,Virginia League,,blau/YRHRMVR,,,,blau/blau-20171001,,player,,Buster,,,Ross,,,,
,Wilkes-Barre,1928,,New York-Pennsylvania League,,blau/YRHRMVR,,,,blau/blau-20171001,,player,,Buster,,,Ross,,,,
,Wilkes-Barre,1928,,New York-Pennsylvania League,,blau/YRHRMVR,,,,blau/blau-20171001,,player,,Buster,,,Ross,,,,
,Springfield,1929,,Eastern League,,blau/YRHRMVR,,,,blau/blau-20171001,,player,,Buster,,,Ross,,,,
,Newark,1929,,International League,,blau/YRHRMVR,,,,blau/blau-20171001,,player,,Buster,,,Ross,,,,
,Wilkes-Barre,1929,,New York-Pennsylvania League,,blau/YRHRMVR,,,,blau/blau-20171001,,player,,Buster,,,Ross,,,,
,Douglas,1915,,Rio Grande Association,,morris/KSJLGZM,,P,,morris/1915RioGrandeValley/ElPasoHerald/107,,player,,Cy,,,Ross,,,,
,Douglas,1915,,Rio Grande Association,,morris/JJGTGNF,,P,,morris/1915RioGrandeValley/ElPasoHerald/112,,player,,Cy,,,Ross,,,,
,Rock Island,1914,,Central Association,,blau/YMRGDRZ,,,,blau/blau-20170827,,player,,Jack,,,Ross,,Jackie,,
,St. Joseph,1914,,Western League,,blau/YMRGDRZ,,,,blau/blau-20170827,,player,,Jack,,,Ross,,Jackie,,
,Muscatine,1915,,Central Association,,blau/YMRGDRZ,,,,blau/blau-20170827,,player,,Jack,,,Ross,,Jackie,,
,Grand Rapids,1920,,Central League,,blau/PJBCWPW,,,,blau/blau-20161225,,player,,Russell,,,Ross,,,,
,Jackson,1921,,Mississippi State League,,blau/WCCWSKR,,,,blau/blau-20171030,,player,,Sidney,,,Ross,,,,
,Beaumont,1921,,Texas League,,blau/WCCWSKR,,,,blau/blau-20171030,,player,,Sidney,,,Ross,,,,
,Raleigh,1924,,Piedmont League,,blau/PJHPXKF,,,,blau/blau-20171001,,player,,Stacey,,,Ross,,,,
,Shawnee,1929,,Western Association,,blau/XTKBGMG,,,,blau/blau-20171001,,player,,,,,Ross,,Buzz,,
,Kansas City,1913,,American Association,,blau/HCYWHGX,,,,blau/blau-20170205,,player,,Braggo,,,Roth,,,,
,Virginia,1913,,Northern League,,blau/HCYWHGX,,,,blau/blau-20170205,,player,,Braggo,,,Roth,,,,
,Virginia,1913,,Northern League,,blau/HCYWHGX,,,,blau/blau-20170205,,manager,,Braggo,,,Roth,,,,
,Uniontown,1906,,Pennsylvania-Ohio-Maryland League,,morris/NTFDZHS,,,,morris/1915Buckeye/UniontownMorningHerald/1,,player,,Allen,,,Roudebush,,,,
,Wheeling,1911,,Central League,,morris/NTFDZHS,,,,morris/1915Buckeye/UniontownMorningHerald/1,,player,,Allen,,,Roudebush,,,,
,Newark,1915,,Buckeye League,,morris/SCZFRTH,,2B,,morris/1915Buckeye/LimaNews/76,,player,,,,,Roudebush,,,,
,Gulfport,1926,,Cotton States League,,blau/XVYVCMD,,,,blau/blau-20170319,,player,,Lester,,,Rouprich,,,,
,Coffeyville,1923,,Southwestern League,,blau/PWLCVJZ,,,,blau/blau-20171001,,player,,Bob,,,Rowe,,,,
,Coffeyville,1924,,Southwestern League,,blau/PWLCVJZ,,,,blau/blau-20171001,,player,,Bob,,,Rowe,,,,
,Emporia,1924,,Southwestern League,,blau/PWLCVJZ,,,,blau/blau-20171001,,player,,Bob,,,Rowe,,,,
,Grand Island,1924,,Tri-State League,,blau/PWLCVJZ,,,,blau/blau-20171001,,player,,Bob,,,Rowe,,,,
,Topeka,1926,,Southwestern League,,blau/PWLCVJZ,,,,blau/blau-20171001,,player,,Bob,,,Rowe,,,,
,Asheville,1915,,North Carolina State League,,morris/YKJTJVQ,,,,morris/1915NorthCarolinaState/AshevilleCitizenTimes/20,,player,,Buck,,,Rowe,,,,
,Greensboro,1915,,North Carolina State League,,morris/YKJTJVQ,,,,morris/1915NorthCarolinaState/AshevilleCitizenTimes/20,,player,,Buck,,,Rowe,,,,
,Greensboro,1915,,North Carolina State League,,morris/VMBQHCP,,C,,morris/1911CarolinaAssociation/CharlotteObserver/7,,player,,Red,,,Rowe,,,,
,Greensboro,1915,,North Carolina State League,,morris/VMBQHCP,,,,morris/1911CarolinaAssociation/CharlotteObserver/7,,manager,,Red,,,Rowe,,,,
,Greensboro,1915,,North Carolina State League,,morris/JDMSFMW,,C,,morris/1915NorthCarolinaState/CharlotteObserver/7,,player,,Red,,,Rowe,,,,
,Greensboro,1915,,North Carolina State League,,morris/JDMSFMW,,,,morris/1915NorthCarolinaState/CharlotteObserver/7,,manager,,Red,,,Rowe,,,,
,Rocky Mount,1922,,Virginia League,,blau/ZHZGSBM,,,,blau/blau-20170108,,player,,Chuck,,,Rowland,,,,
,Aberdeen,1909,,Northwestern League,,blau/RDVBVRC,,,,blau/blau-20170108,,manager,,Pants,,,Rowland,,,,
,Jacksonville,1910,,Northern Association,,blau/RDVBVRC,,,,blau/blau-20170108,,manager,,Pants,,,Rowland,,,,
,Winnipeg,1910,,Western Canada League,,blau/RDVBVRC,,,,blau/blau-20170108,,manager,,Pants,,,Rowland,,,,
,Nashville,1929,,Southern Association,,blau/GLXKXLX,,,,blau/blau-20170416,,manager,,Pants,,,Rowland,,,,
,Nashville,1929,,Southern Association,,blau/THSFFMB,,,,blau/blau-20171001,,manager,,Pants,,,Rowland,,,,
,Cleveland,1922,,Appalachian League,,blau/YHDFVKX,,,,blau/blau-20170521,,player,,Luther,,,Roy,,,,
,Cynthiana,1923,,Blue Grass League,,blau/XWYVBKJ,,,,blau/blau-20170205,,player,,Luther,,,Roy,,,,
,Cynthiana,1923,,Blue Grass League,,blau/YHDFVKX,,,,blau/blau-20170521,,player,,Luther,,,Roy,,,,
,Chattanooga,1923,,Southern Association,,blau/XWYVBKJ,,,,blau/blau-20170205,,player,,Luther,,,Roy,,,,
,Chattanooga,1924,,Southern Association,,blau/YHDFVKX,,,,blau/blau-20170521,,player,,Luther,,,Roy,,,,
,Monmouth,1913,,Central Association,,blau/PKBZKTB,,,,blau/blau-20170108,,player,,Jack,,John A.,Royer,,,,
,Madison,1914,,Wisconsin-Illinois League,,blau/PKBZKTB,,,,blau/blau-20170108,,player,,Jack,,John A.,Royer,,,,
,Perth Amboy,1914,,Atlantic League,,blau/LBVFSWY,,,,blau/blau-20180521,,player,,Frank,,,Ruddy,,,,
,Reading,1914,,Tri-State League,,blau/LBVFSWY,,,,blau/blau-20180521,,player,,Frank,,,Ruddy,,,,
,Trenton,1914,,Tri-State League,,blau/LBVFSWY,,,,blau/blau-20180521,,player,,Frank,,,Ruddy,,,,
,Akron,1935,,Middle Atlantic League,,blau/YMLRMGC,,,,blau/blau-20170416,,player,,Ray,,,Ruff,,,,
,Greensboro,1931,,Piedmont League,,blau/STXFDKD,,,,blau/blau-20170219,,player,,Shine,,Eugene,Rumple,,,,
,Greensboro,1932,,Piedmont League,,blau/STXFDKD,,,,blau/blau-20170219,,player,,Shine,,Eugene,Rumple,,,,
